Date,Open,High,Low,Close,Pre Settle,Settle,Volume,Open Interest,Turnover
2018-05-16,6028.0,6030.0,5960.0,5974.0,6078.0,5990.0,2218.0,1830.0,132878.48
2018-05-17,6000.0,6000.0,5898.0,5974.0,5990.0,5964.0,464.0,2192.0,27674.08
2018-05-18,5962.0,6050.0,5962.0,6036.0,5964.0,6020.0,1970.0,3438.0,118622.72
2018-05-21,6034.0,6100.0,6006.0,6012.0,6020.0,6034.0,2642.0,5172.0,159456.88
2018-05-22,6022.0,6074.0,5994.0,6036.0,6034.0,6018.0,2072.0,6582.0,124734.12
2018-05-23,6048.0,6054.0,6010.0,6012.0,6018.0,6026.0,2862.0,8366.0,172470.8
2018-05-24,6018.0,6050.0,5986.0,6040.0,6026.0,6016.0,1814.0,9360.0,109164.64
2018-05-25,6050.0,6088.0,6010.0,6010.0,6016.0,6040.0,1544.0,9986.0,93277.04
2018-05-28,6010.0,6022.0,5970.0,5976.0,6040.0,5990.0,1272.0,10232.0,76206.28
2018-05-29,5980.0,6038.0,5980.0,6038.0,5990.0,6012.0,1436.0,11038.0,86354.72
2018-05-30,6038.0,6198.0,6016.0,6072.0,6012.0,6102.0,4150.0,11764.0,253273.88
2018-05-31,6076.0,6124.0,6058.0,6082.0,6102.0,6094.0,2756.0,12416.0,167961.04
2018-06-01,6088.0,6116.0,6066.0,6102.0,6094.0,6090.0,2028.0,12956.0,123529.08
2018-06-04,6112.0,6214.0,6088.0,6120.0,6090.0,6148.0,5090.0,16000.0,312948.6
2018-06-05,6122.0,6126.0,5992.0,6076.0,6148.0,6074.0,4406.0,16466.0,267679.0
2018-06-06,6074.0,6084.0,6034.0,6046.0,6074.0,6050.0,4262.0,18902.0,257919.84
2018-06-07,6036.0,6068.0,6012.0,6056.0,6050.0,6040.0,4128.0,21028.0,249385.04
2018-06-08,6052.0,6076.0,5960.0,5978.0,6040.0,6016.0,5448.0,21376.0,327849.12
2018-06-11,5956.0,5998.0,5948.0,5982.0,6016.0,5978.0,4150.0,23120.0,248119.92
2018-06-12,5994.0,6008.0,5946.0,5950.0,5978.0,5986.0,4888.0,23584.0,292603.48
2018-06-13,5948.0,5948.0,5880.0,5908.0,5986.0,5904.0,4446.0,23794.0,262539.48
2018-06-14,5916.0,5974.0,5902.0,5934.0,5904.0,5940.0,11330.0,29218.0,673058.88
2018-06-15,5928.0,5974.0,5840.0,5944.0,5940.0,5938.0,5012.0,31062.0,297685.0
2018-06-19,6002.0,6042.0,5706.0,5736.0,5938.0,5880.0,15278.0,31970.0,898362.08
2018-06-20,5736.0,5788.0,5712.0,5758.0,5880.0,5760.0,15954.0,32562.0,918974.44
2018-06-21,5760.0,5786.0,5752.0,5762.0,5760.0,5766.0,9352.0,34464.0,539386.24
2018-06-22,5764.0,5774.0,5738.0,5760.0,5766.0,5754.0,7734.0,38106.0,445084.56
2018-06-25,5772.0,5796.0,5760.0,5772.0,5754.0,5776.0,5256.0,40220.0,303659.32
2018-06-26,5780.0,5782.0,5686.0,5758.0,5776.0,5746.0,8530.0,42788.0,490228.2
2018-06-27,5768.0,5820.0,5756.0,5798.0,5746.0,5788.0,11730.0,47392.0,679120.28
2018-06-28,5814.0,5820.0,5732.0,5780.0,5788.0,5794.0,7946.0,49450.0,460419.24
2018-06-29,5784.0,5820.0,5774.0,5782.0,5794.0,5794.0,9110.0,51722.0,528008.64
2018-07-02,5786.0,5804.0,5742.0,5768.0,5794.0,5768.0,16674.0,55086.0,961888.36
2018-07-03,5772.0,5772.0,5706.0,5744.0,5768.0,5740.0,13442.0,57682.0,771785.0
2018-07-04,5756.0,5760.0,5706.0,5722.0,5740.0,5730.0,10934.0,59934.0,626597.56
2018-07-05,5718.0,5744.0,5686.0,5736.0,5730.0,5720.0,8366.0,61668.0,478569.2
2018-07-06,5738.0,5778.0,5704.0,5744.0,5720.0,5732.0,24056.0,61520.0,1378993.04
2018-07-09,5726.0,5786.0,5726.0,5752.0,5732.0,5760.0,16600.0,66418.0,956324.56
2018-07-10,5750.0,5920.0,5674.0,5678.0,5760.0,5708.0,14870.0,71614.0,848992.96
2018-07-11,5684.0,5710.0,5644.0,5652.0,5708.0,5674.0,13608.0,74506.0,772149.92
2018-07-12,5652.0,5668.0,5616.0,5658.0,5674.0,5648.0,7952.0,75772.0,449171.88
2018-07-13,5648.0,5658.0,5608.0,5620.0,5648.0,5624.0,11384.0,78744.0,640397.64
2018-07-16,5608.0,5636.0,5586.0,5624.0,5624.0,5610.0,11002.0,83094.0,617287.44
2018-07-17,5614.0,5660.0,5614.0,5644.0,5610.0,5642.0,16680.0,87064.0,941275.68
2018-07-18,5646.0,5666.0,5630.0,5654.0,5642.0,5650.0,6050.0,87552.0,341865.6
2018-07-19,5660.0,5686.0,5656.0,5674.0,5650.0,5670.0,4794.0,88042.0,271822.88
2018-07-20,5670.0,5684.0,5648.0,5652.0,5670.0,5670.0,7886.0,88462.0,447287.48
2018-07-23,5652.0,5714.0,5650.0,5672.0,5670.0,5690.0,9636.0,91508.0,548429.68
2018-07-24,5670.0,5682.0,5640.0,5672.0,5690.0,5660.0,9838.0,94278.0,556998.08
2018-07-25,5668.0,5690.0,5660.0,5670.0,5660.0,5676.0,8366.0,96202.0,474957.28
2018-07-26,5676.0,5728.0,5664.0,5722.0,5676.0,5698.0,27346.0,100514.0,1558594.24
2018-07-27,5728.0,5744.0,5700.0,5738.0,5698.0,5724.0,14614.0,104380.0,836524.6
2018-07-30,5740.0,5786.0,5732.0,5766.0,5724.0,5758.0,23348.0,110966.0,1344613.32
2018-07-31,5768.0,5788.0,5750.0,5778.0,5758.0,5770.0,13894.0,112314.0,801816.6
2018-08-01,5786.0,5822.0,5758.0,5790.0,5770.0,5788.0,28188.0,114112.0,1632056.48
2018-08-02,5796.0,5836.0,5786.0,5804.0,5788.0,5810.0,19122.0,116240.0,1111142.92
2018-08-03,5760.0,5820.0,5760.0,5794.0,5810.0,5788.0,18622.0,121904.0,1078113.04
2018-08-06,5796.0,5866.0,5782.0,5834.0,5788.0,5830.0,28768.0,131664.0,1677746.52
2018-08-07,5836.0,5868.0,5822.0,5856.0,5830.0,5842.0,30132.0,144266.0,1760438.88
2018-08-08,5866.0,5888.0,5844.0,5872.0,5842.0,5864.0,31264.0,152030.0,1833715.44
2018-08-09,5876.0,5908.0,5850.0,5882.0,5864.0,5876.0,49398.0,165588.0,2902678.56
2018-08-10,5884.0,5886.0,5840.0,5862.0,5876.0,5856.0,58504.0,171128.0,3426623.48
2018-08-13,5862.0,5876.0,5758.0,5816.0,5856.0,5816.0,44170.0,171294.0,2568958.72
2018-08-14,5814.0,5862.0,5798.0,5832.0,5816.0,5832.0,42744.0,171148.0,2493223.72
2018-08-15,5846.0,5870.0,5832.0,5856.0,5832.0,5852.0,29734.0,176682.0,1740470.92
2018-08-16,5846.0,5850.0,5750.0,5818.0,5852.0,5804.0,52310.0,178876.0,3036657.8
2018-08-17,5818.0,5896.0,5804.0,5860.0,5804.0,5856.0,39582.0,177412.0,2318499.72
2018-08-20,5860.0,5924.0,5836.0,5868.0,5856.0,5880.0,65298.0,185746.0,3840450.44
2018-08-21,5870.0,5896.0,5850.0,5886.0,5880.0,5868.0,36346.0,188958.0,2133112.16
