,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
59,0.9824853420257569,0.04073002351203721,0.006495952606201172,0.0007799552385525221,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.938807136294503,0.913941106835081,0.9380031862652597,0.9288104893581611,0.8944866260057625,0.9228097089517535,0.016754807853376522,1,-4.0219696203734605,-4.77338860347951,-4.262008749073506,-4.341917616226374,-5.657794180454742,-4.611415753921518,0.5767675894363075,1
58,0.416796350479126,0.03425305341643451,0.006010103225708008,0.00063105839793657,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9392035972554682,0.9115381114876328,0.9380730045150584,0.9285378493538943,0.8935570055990607,0.9221819136422228,0.01740883847770774,2,-4.0089195278153404,-4.83957268771159,-4.259608223970736,-4.350223960713903,-5.682663382429043,-4.628197556528123,0.5921503722817565,3
23,1.035581111907959,0.04955316274655112,0.007099151611328125,0.00020069673239160105,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9373650288062758,0.9137833495583938,0.9373367001608339,0.927783930499156,0.8939094842009324,0.9220356986451185,0.01650052353370021,3,-4.069085711676945,-4.777761725018955,-4.28485650475081,-4.373110978492862,-5.6732467072421855,-4.635612325436351,0.5674117674311846,4
56,0.8424849033355712,0.06823613460500351,0.007024335861206055,0.0026155968393752264,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9490653910679994,0.9136091890346311,0.9373589785787132,0.9210963160781205,0.8880154403182152,0.9218290630155359,0.020949750210605533,4,-3.669398549889832,-4.7825849099134645,-4.28409474858631,-4.571115714354294,-5.828710195310795,-4.627180823610939,0.7079578372054528,2
22,0.4068932056427002,0.01487689165148625,0.005801582336425781,0.00040696140986398575,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9377073774069362,0.9105964264467861,0.9372982731879357,0.9273580791798063,0.8935241673841816,0.921296864721129,0.017017111487437685,5,-4.057950123114261,-4.865263349790448,-4.286170103222844,-4.385985936333964,-5.683539880370894,-4.655781878566482,0.5774035884550853,5
20,0.8096019744873046,0.03883416685443238,0.006402397155761718,0.0004959453194673253,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9468068623523714,0.9135246504288653,0.9375840486639987,0.9193531108876059,0.8844688122376845,0.9203474969141052,0.021596373711636634,6,-3.749869906871421,-4.784924361256301,-4.276391415981772,-4.621334289239901,-5.9202903772297635,-4.670562070115833,0.7183825601567545,6
26,1.2151244163513184,0.04289811361653261,0.006391382217407227,0.0008070461168947557,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9350062141462259,0.9260545330802153,0.927365513139701,0.9170847311005722,0.8961993722725972,0.9203420727478623,0.013345248006561406,7,-4.1449978968668475,-4.424708774781209,-4.613187305746932,-4.685876430897752,-5.61168621961931,-4.69609132558241,0.49449851094165764,7
25,0.5174949645996094,0.010921297504694182,0.006706857681274414,0.0004018500444372336,0.01,0.1,9,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9350339793103036,0.9259736585795693,0.927383485645292,0.9171109405287098,0.8961501940972261,0.9203304516322202,0.013362895687870871,8,-4.144112436518711,-4.427127775813647,-4.612616532360484,-4.6851357720896925,-5.613015401415125,-4.696401583639532,0.49494634656159514,8
24,0.2607990264892578,0.005489388596051247,0.005999994277954101,2.2061333759164607e-05,0.01,0.1,9,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9344310110099082,0.9241444263078759,0.9276949481269048,0.9172307914633968,0.895581711054248,0.9198165775924668,0.013329633955400015,9,-4.163299368473729,-4.481492381238612,-4.602713820673971,-4.681747381454378,-5.6283575059886015,-4.711522091565858,0.4912788967713176,9
61,0.48559203147888186,0.005288615570670612,0.006415605545043945,0.0004941777065029392,0.1,0.1,9,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9337237977798458,0.926423291926428,0.9273669633938159,0.9165817018483711,0.894428423376874,0.9197048356650669,0.013776996317360261,10,-4.18569138419977,-4.413662189511533,-4.613141250990039,-4.700069044008202,-5.659354423880164,-4.714383658517941,0.5046530696438825,10
