,FOLLOWERS,FOLLOWING,NUMBER OF TAGS,USERS IN PHOTO,VIDEO,TUE,WED,THU,FRI,SAT,SUN
0,1134619,915,2,1,0,0,0,0,0,1,0
1,1134619,915,3,1,0,0,0,0,0,1,0
2,1134619,915,7,3,0,0,0,1,0,0,0
3,1134619,915,2,3,0,0,1,0,0,0,0
4,1134619,915,4,0,0,0,1,0,0,0,0
5,1134619,915,2,0,0,1,0,0,0,0,0
6,1134619,915,3,0,0,0,0,0,0,0,0
7,1134619,915,4,1,0,0,0,0,0,1,0
8,1134619,915,2,1,0,0,0,0,1,0,0
9,1134619,915,4,2,0,0,1,0,0,0,0
10,1134619,915,4,3,0,1,0,0,0,0,0
11,1134619,915,3,2,0,0,0,0,0,0,1
12,1134619,915,4,1,0,0,0,0,0,0,0
13,1134619,915,6,2,0,0,0,0,0,0,0
14,1134619,915,6,2,0,0,0,0,1,0,0
15,1134619,915,5,1,0,0,0,0,1,0,0
16,1134619,915,3,0,0,0,0,1,0,0,0
17,1134619,915,3,3,0,0,1,0,0,0,0
18,1134619,915,4,0,1,1,0,0,0,0,0
19,1134619,915,3,2,0,0,0,0,0,0,0
20,1134619,915,5,3,0,0,0,1,0,0,0
21,1134619,915,1,0,0,0,0,0,0,0,1
22,1134619,915,2,1,0,0,0,0,0,0,1
23,1134619,915,4,5,0,0,0,0,0,0,0
24,1134619,915,2,3,0,0,0,0,0,0,0
25,1134619,915,1,2,0,0,0,0,0,0,1
26,1134619,915,3,2,0,0,0,0,1,0,0
27,1134619,915,1,2,0,0,0,0,1,0,0
28,1134619,915,1,0,0,0,0,0,0,0,0
29,1134619,915,1,12,0,0,0,1,0,0,0
30,1134619,915,0,0,0,1,0,0,0,0,0
31,1134619,915,1,0,0,1,0,0,0,0,0
32,1134619,915,5,0,0,0,0,0,0,1,0
33,1134619,915,2,5,0,0,0,0,1,0,0
34,1134619,915,1,1,0,0,0,1,0,0,0
35,1134619,915,1,2,0,0,0,0,0,1,0
36,1134619,915,6,0,0,0,1,0,0,0,0
37,1134619,915,3,2,0,0,0,0,0,0,0
38,1134619,915,5,1,0,0,0,0,0,0,1
39,1134619,915,4,2,0,0,1,0,0,0,0
40,1134619,915,2,5,0,1,0,0,0,0,0
41,1134619,915,6,3,0,0,0,0,0,0,1
42,1134619,915,5,2,0,0,0,0,1,0,0
43,1134619,915,6,3,0,0,0,0,1,0,0
44,1134619,915,3,2,0,1,0,0,0,0,0
45,1134619,915,6,0,0,0,0,0,0,0,1
46,1134619,915,7,3,0,0,0,0,0,0,1
47,1134619,915,6,2,0,0,0,0,1,0,0
48,1134619,915,6,3,0,1,0,0,0,0,0
49,1134619,915,5,4,0,0,0,0,0,0,0
50,1134619,915,2,0,0,0,0,0,0,0,1
51,1134619,915,3,20,0,0,0,0,0,0,1
52,1134619,915,2,2,0,0,0,0,0,1,0
53,1134619,915,7,2,0,1,0,0,0,0,0
54,1134619,915,7,2,0,0,0,0,0,0,1
55,1134619,915,5,1,0,0,0,0,0,0,1
56,1134619,915,4,3,0,0,0,0,0,0,1
57,1134619,915,3,1,0,0,0,0,0,0,1
58,1134619,915,4,7,0,0,0,0,0,0,1
59,1134619,915,3,4,0,0,0,0,1,0,0
60,1134619,915,4,0,0,0,0,0,1,0,0
61,1134619,915,22,0,0,0,0,0,1,0,0
62,1134619,915,6,1,0,0,0,1,0,0,0
63,1134619,915,5,15,0,0,1,0,0,0,0
64,1134619,915,3,1,0,0,1,0,0,0,0
65,1134619,915,5,1,0,1,0,0,0,0,0
66,1134619,915,1,1,0,1,0,0,0,0,0
67,1134619,915,2,2,0,0,0,0,0,0,0
68,1134619,915,3,2,0,0,0,0,0,0,0
69,1134619,915,30,0,0,0,0,0,0,1,0
70,1134619,915,3,4,0,0,0,0,1,0,0
71,1134619,915,8,2,0,0,0,1,0,0,0
72,1134619,915,9,3,0,0,0,1,0,0,0
73,1134619,915,2,4,0,0,0,1,0,0,0
74,1134619,915,5,0,0,0,0,0,0,0,0
75,1134619,915,27,2,0,0,0,0,0,0,0
76,1134619,915,26,3,0,0,0,0,0,0,1
77,1134619,915,22,0,0,0,0,0,0,1,0
78,1134619,915,4,2,0,0,0,0,1,0,0
79,1134619,915,25,0,0,0,0,0,1,0,0
80,1134619,915,24,1,0,0,0,0,1,0,0
81,1134619,915,5,0,0,0,0,1,0,0,0
82,1134619,915,15,0,0,0,0,1,0,0,0
83,1134619,915,28,2,0,0,0,1,0,0,0
84,1134619,915,15,0,1,1,0,0,0,0,0
85,1134619,915,22,0,0,1,0,0,0,0,0
86,1134619,915,28,0,0,1,0,0,0,0,0
87,1134619,915,1,1,0,0,0,0,1,0,0
88,1134619,915,24,0,0,0,0,0,1,0,0
89,1134619,915,23,0,0,1,0,0,0,0,0
90,1134619,915,6,2,0,0,0,0,0,0,0
91,1134619,915,3,3,0,0,0,0,0,1,0
92,1134619,915,17,0,0,0,1,0,0,0,0
93,1134619,915,26,0,0,0,1,0,0,0,0
94,1134619,915,26,0,0,0,1,0,0,0,0
95,1134619,915,23,0,0,0,1,0,0,0,0
96,1134619,915,21,0,0,1,0,0,0,0,0
97,1134619,915,2,0,0,0,0,0,0,0,0
98,1134619,915,3,0,0,0,0,0,0,0,0
99,1134619,915,3,0,0,0,0,0,0,0,0
100,1134619,915,1,1,0,0,0,0,0,1,0
101,1134619,915,3,2,0,1,0,0,0,0,0
102,1134619,915,2,3,0,0,1,0,0,0,0
103,1134619,915,2,2,0,0,0,0,0,1,0
104,1134619,915,2,0,0,0,0,0,0,0,1
105,1134619,915,2,2,0,0,0,0,1,0,0
106,1134619,915,3,1,0,0,0,0,0,0,1
107,804699,107,1,0,1,0,1,0,0,0,0
108,804699,107,0,1,0,0,0,0,1,0,0
109,636249,78,3,0,0,0,0,1,0,0,0
110,636249,78,3,1,0,1,0,0,0,0,0
111,636249,78,2,0,0,0,1,0,0,0,0
112,636249,78,5,1,0,0,1,0,0,0,0
113,636249,78,2,0,0,0,0,1,0,0,0
114,636249,78,2,0,0,0,0,1,0,0,0
115,636249,78,2,0,0,0,0,1,0,0,0
116,636249,78,3,1,0,0,0,0,0,0,0
117,636249,78,2,0,0,0,0,0,0,0,0
118,636249,78,2,0,0,1,0,0,0,0,0
119,636249,78,4,1,0,1,0,0,0,0,0
120,636249,78,2,0,0,1,0,0,0,0,0
121,636249,78,2,0,0,1,0,0,0,0,0
122,636249,78,2,0,0,0,1,0,0,0,0
123,636249,78,3,1,0,0,1,0,0,0,0
124,636249,78,3,1,0,0,0,1,0,0,0
125,636249,78,2,0,0,0,0,0,1,0,0
126,636249,78,4,1,0,0,0,0,1,0,0
127,636249,78,2,0,0,0,0,0,0,0,1
128,636249,78,3,1,0,0,0,0,1,0,0
129,636249,78,2,0,0,0,0,1,0,0,0
130,636249,78,2,0,0,0,0,0,1,0,0
131,636249,78,2,0,0,0,0,1,0,0,0
132,520590,232,0,0,1,0,0,1,0,0,0
133,520590,232,0,2,0,0,0,1,0,0,0
134,520590,232,0,0,0,0,0,1,0,0,0
135,520590,232,1,0,0,1,0,0,0,0,0
136,520590,232,0,0,0,0,0,0,0,1,0
137,520590,232,2,0,0,0,0,0,0,0,1
138,520590,232,0,0,0,0,0,0,0,0,1
139,520590,232,2,0,0,0,0,1,0,0,0
140,520590,232,3,0,0,0,0,0,1,0,0
141,520590,232,0,0,0,0,0,0,0,1,0
142,520590,232,0,0,0,0,0,0,0,1,0
143,520590,232,0,0,0,0,0,0,0,1,0
144,520590,232,2,0,0,0,0,0,0,0,1
145,520590,232,3,0,0,0,0,0,0,0,0
146,520590,232,2,0,0,1,0,0,0,0,0
147,520590,232,6,0,1,1,0,0,0,0,0
148,520590,232,3,0,0,0,0,0,0,1,0
149,520590,232,2,0,0,0,0,0,0,0,1
150,520590,232,3,0,0,0,0,1,0,0,0
151,520590,232,4,0,0,1,0,0,0,0,0
152,520590,232,2,0,0,0,0,0,0,1,0
153,520590,232,0,0,0,1,0,0,0,0,0
154,520590,232,2,0,0,0,1,0,0,0,0
155,520590,232,1,0,0,0,0,1,0,0,0
156,520590,232,2,0,0,0,0,0,0,0,1
157,520590,232,0,0,0,0,0,0,0,0,0
158,520590,232,0,0,0,0,0,0,1,0,0
159,520590,232,2,0,0,0,0,0,0,0,0
160,520590,232,2,0,0,0,0,0,0,0,0
161,520590,232,0,0,0,0,0,1,0,0,0
162,520590,232,0,0,0,0,0,0,0,0,0
163,520590,232,0,0,0,0,0,0,1,0,0
164,520590,232,0,0,0,0,0,0,1,0,0
165,520590,232,0,0,0,0,1,0,0,0,0
166,520590,232,2,0,0,0,0,1,0,0,0
167,520590,232,2,0,0,0,0,1,0,0,0
168,520590,232,0,0,0,0,0,1,0,0,0
169,520590,232,2,0,0,0,0,0,0,1,0
170,520590,232,2,0,0,0,0,0,0,0,1
171,520590,232,2,0,0,0,0,1,0,0,0
172,520590,232,4,0,0,1,0,0,0,0,0
173,520590,232,3,0,0,0,0,1,0,0,0
174,520590,232,4,0,0,0,0,0,0,0,0
175,520590,232,2,0,0,0,0,0,1,0,0
176,520590,232,2,0,0,0,0,0,0,0,0
177,520590,232,0,0,0,0,0,1,0,0,0
178,520590,232,2,0,0,0,0,0,0,1,0
179,520590,232,2,0,0,0,0,0,1,0,0
180,520590,232,2,0,0,0,1,0,0,0,0
181,520590,232,0,0,0,0,0,0,0,0,1
182,520590,232,2,0,0,0,0,0,1,0,0
183,520590,232,3,0,0,0,0,0,0,1,0
184,520590,232,0,0,0,0,1,0,0,0,0
185,493321,863,0,0,0,0,0,1,0,0,0
186,493321,863,0,0,0,0,0,0,1,0,0
187,493321,863,0,0,0,0,0,0,0,1,0
188,493321,863,0,0,0,0,0,0,0,0,1
189,493321,863,0,0,0,0,1,0,0,0,0
190,493321,863,0,0,0,1,0,0,0,0,0
191,493321,863,0,0,0,1,0,0,0,0,0
192,493321,863,1,0,1,0,0,0,0,0,1
193,493321,863,1,0,0,1,0,0,0,0,0
194,493321,863,0,2,0,0,1,0,0,0,0
195,493321,863,0,3,0,0,0,1,0,0,0
196,493321,863,0,0,1,0,0,0,1,0,0
197,493321,863,0,2,0,0,0,0,1,0,0
198,493321,863,0,0,0,0,0,0,1,0,0
199,493321,863,0,0,0,0,0,0,0,0,1
200,493321,863,0,2,0,0,0,0,0,0,0
201,493321,863,0,0,0,0,0,0,0,0,0
202,493321,863,0,2,0,0,0,0,0,0,0
203,493321,863,0,3,0,0,0,0,0,0,0
204,493321,863,0,2,0,0,0,1,0,0,0
205,493321,863,2,0,0,1,0,0,0,0,0
206,493321,863,0,2,0,0,0,0,1,0,0
207,493321,863,0,0,0,0,0,1,0,0,0
208,493321,863,0,1,0,0,1,0,0,0,0
209,493321,863,0,0,0,0,0,0,1,0,0
210,491924,796,13,4,0,0,0,1,0,0,0
211,491924,796,4,1,0,0,0,0,0,0,1
212,491924,796,15,5,0,1,0,0,0,0,0
213,491924,796,10,1,0,0,0,1,0,0,0
214,491924,796,10,0,1,0,0,0,1,0,0
215,491924,796,1,1,0,0,0,0,0,1,0
216,491924,796,10,4,0,0,1,0,0,0,0
217,491924,796,9,2,0,0,0,0,0,0,1
218,491924,796,13,2,0,0,1,0,0,0,0
219,491924,796,3,0,1,0,0,1,0,0,0
220,491924,796,10,2,0,0,0,0,1,0,0
221,491924,796,13,1,0,0,0,0,0,0,1
222,491924,796,8,0,1,0,0,0,0,1,0
223,491924,796,8,4,0,0,0,0,0,0,0
224,491924,796,6,3,0,0,0,0,0,0,0
225,491924,796,10,1,0,1,0,0,0,0,0
226,491924,796,11,1,0,0,0,0,0,0,0
227,491924,796,9,8,0,0,1,0,0,0,0
228,464254,1432,7,0,0,0,0,1,0,0,0
229,464254,1432,0,0,0,0,0,0,1,0,0
230,464254,1432,9,0,0,0,0,0,0,1,0
231,464254,1432,10,1,0,0,0,0,0,0,0
232,464254,1432,12,0,0,1,0,0,0,0,0
233,464254,1432,14,2,0,0,1,0,0,0,0
234,464254,1432,19,13,0,0,0,1,0,0,0
235,464254,1432,18,1,0,0,0,0,0,1,0
236,464254,1432,16,10,0,0,0,0,0,0,1
237,464254,1432,10,9,0,1,0,0,0,0,0
238,464254,1432,10,0,0,0,0,1,0,0,0
239,464254,1432,10,2,0,0,0,0,0,0,1
240,464254,1432,13,0,0,0,0,0,0,0,1
241,464254,1432,12,0,0,0,0,0,0,0,1
242,464254,1432,13,12,0,0,0,0,1,0,0
243,464254,1432,8,1,0,0,0,0,0,1,0
244,464254,1432,12,0,0,0,0,0,0,1,0
245,461375,242,4,0,1,0,0,1,0,0,0
246,461375,242,4,5,0,0,0,0,1,0,0
247,461375,242,3,4,0,1,0,0,0,0,0
248,461375,242,0,2,0,0,0,1,0,0,0
249,461375,242,3,4,0,0,0,0,0,0,1
250,461375,242,0,0,0,0,0,0,0,0,1
251,459308,1839,7,14,0,0,0,1,0,0,0
252,459308,1839,10,15,0,0,0,1,0,0,0
253,459308,1839,9,8,0,0,0,1,0,0,0
254,459308,1839,10,13,0,0,0,0,1,0,0
255,459308,1839,7,16,0,0,0,0,1,0,0
256,459308,1839,13,15,0,0,0,0,0,1,0
257,459308,1839,9,5,0,0,0,0,0,0,1
258,459308,1839,7,1,0,0,0,0,0,0,1
259,459308,1839,8,10,0,0,0,0,0,0,0
260,459308,1839,10,12,0,0,0,0,0,0,0
261,459308,1839,8,7,0,1,0,0,0,0,0
262,459308,1839,8,4,0,1,0,0,0,0,0
263,459308,1839,14,6,0,0,1,0,0,0,0
264,459308,1839,9,0,1,0,1,0,0,0,0
265,459308,1839,12,3,0,0,0,1,0,0,0
266,459308,1839,2,7,0,0,0,0,1,0,0
267,459308,1839,10,7,0,0,0,0,0,1,0
268,459308,1839,9,10,0,0,0,0,0,0,1
269,459308,1839,9,11,0,0,0,0,0,0,0
270,459308,1839,9,1,0,1,0,0,0,0,0
271,459308,1839,11,11,0,0,1,0,0,0,0
272,459308,1839,6,7,0,0,0,1,0,0,0
273,459308,1839,7,0,1,0,0,0,1,0,0
274,459308,1839,8,0,0,0,0,0,1,0,0
275,459308,1839,11,7,0,0,0,0,0,1,0
276,459308,1839,4,0,1,0,0,0,0,1,0
277,459308,1839,9,8,0,0,0,0,0,1,0
278,459308,1839,8,1,0,0,0,0,0,0,1
279,459308,1839,9,7,0,0,0,0,0,0,0
280,459308,1839,8,9,0,0,0,0,0,0,0
281,459308,1839,8,6,0,1,0,0,0,0,0
282,459308,1839,9,11,0,0,0,0,0,0,1
283,459308,1839,11,8,0,0,0,0,0,1,0
284,459308,1839,7,10,0,0,0,0,0,0,1
285,431027,83,1,3,0,0,0,0,1,0,0
286,431027,83,3,0,1,0,0,0,1,0,0
287,431027,83,3,2,0,0,0,0,1,0,0
288,431027,83,3,1,0,0,1,0,0,0,0
289,431027,83,6,0,1,0,0,1,0,0,0
290,431027,83,4,0,1,0,0,0,1,0,0
