,words,tf,idf,tfidf
0,,2320.0,0.0,0.0
1,_,100.0,1.8088297286872232,180.88297286872233
2,__,4.0,3.7212798796633506,14.885119518653402
3,___,9.0,3.92732899761826,35.34596097856434
4,____,4.0,3.9341317449410127,15.73652697976405
5,_____,5.0,3.939264348167533,19.696321740837664
6,_______,3.0,3.9444234309775603,11.833270292932681
7,________,18.0,3.947877665845648,71.06179798522166
8,_________,6.0,3.9600623248620153,23.76037394917209
9,__________,24.0,3.968857456314842,95.25257895155622
10,___________,6.0,4.012185533078379,24.073113198470274
11,____________,26.0,4.023317373447223,104.6062517096278
12,_____________,28.0,4.032689513276086,112.91530637173041
13,______________,3.0,4.040250985976663,12.12075295792999
14,_______________,39.0,4.045959850196983,157.79243415768232
15,________________,4.0,4.121242910617531,16.484971642470125
16,__________________,7.0,4.127434880865453,28.89204416605817
17,____________________,6.0,4.139935043629684,24.839610261778105
18,_____________________,10.0,4.152593440501607,41.52593440501607
19,______________________,6.0,4.279173014287327,25.675038085723962
20,_______________________,7.0,4.291294374819672,30.039060623737704
21,________________________,4.0,4.308514972571342,17.23405989028537
22,_________________________,8.0,4.315986987410043,34.527895899280345
23,__________________________,8.0,4.336189694727563,34.6895175578205
24,___________________________,4.0,4.3831957371034935,17.532782948413974
25,____________________________,4.0,4.393948528879755,17.57579411551902
26,_____________________________,7.0,4.404818201116659,30.833727407816614
27,______________________________,13.0,4.424129146029746,57.5136788983867
28,________________________________,8.0,4.469721087352085,35.75776869881668
29,_________________________________,22.0,4.6204761781782056,101.65047591992052
30,__________________________________,10.0,4.697979739333066,46.97979739333066
31,___________________________________,6.0,4.735297502340261,28.411785014041566
32,____________________________________,7.0,4.758375449622806,33.30862814735964
33,_____________________________________,22.0,4.785990616655779,105.29179356642713
34,______________________________________,7.0,4.856413080952325,33.994891566666276
35,________________________________________,31.0,4.865033823996232,150.81604854388317
36,_________________________________________,13.0,5.009134167969989,65.11874418360985
37,__________________________________________,6.0,5.024247805780036,30.14548683468022
38,___________________________________________,13.0,5.055178106471395,65.71731538412814
39,____________________________________________,9.0,5.12566798422594,46.13101185803346
40,_____________________________________________,6.0,5.177552819594952,31.065316917569714
41,______________________________________________,10.0,5.213701333711263,52.137013337112634
42,_______________________________________________,6.0,5.264026417598779,31.584158505592676
43,_________________________________________________,7.0,5.303505228572566,37.12453660000796
44,__________________________________________________,17.0,5.344606904258118,90.858317372388
45,___________________________________________________,21.0,5.394796648781973,113.29072962442145
46,____________________________________________________,13.0,5.479137797215724,71.22879136380442
47,_____________________________________________________,32.0,5.588952663222931,178.84648522313378
48,______________________________________________________,10.0,5.925424899844144,59.25424899844144
49,_______________________________________________________,10.0,6.058956292468666,60.58956292468666
50,________________________________________________________,13.0,6.2131069722959245,80.77039063984702
51,___________________________________________________________,15.0,6.457303932807966,96.8595589921195
52,____________________________________________________________,6.0,6.841715631718299,41.050293790309794
53,_____________________________________________________________,13.0,7.049354996496543,91.64161495445506
54,______________________________________________________________,5.0,7.742502177056489,38.71251088528244
55,_______________________________________________________________,5.0,8.698013622083925,43.49006811041963
56,______________________________________________________________περισσότερα,3.0,9.208839245849916,27.626517737549747
57,_______________________________félicitations,3.0,9.208839245849916,27.626517737549747
58,__________________________turn,7.0,8.00486644152398,56.03406509066786
59,_____________________κωδικός,6.0,5.8766347356747115,35.259808414048265
60,__anime,16.0,7.534862812278244,120.5578049964519
61,__babygirl__tannu__,4.0,10.307451534518025,41.2298061380721
62,__simran__arora__,4.0,10.307451534518025,41.2298061380721
63,__urbanqueen__,5.0,8.698013622083925,43.49006811041963
64,_april,11.0,7.909556261719655,87.0051188789162
65,_avgst_,3.0,9.208839245849916,27.626517737549747
66,_b_studio,12.0,8.00486644152398,96.05839729828776
67,_burakdeniz,3.0,9.208839245849916,27.626517737549747
68,_dolcivisioni_,3.0,9.208839245849916,27.626517737549747
69,_eshh_v,4.0,10.307451534518025,41.2298061380721
70,_fairies,3.0,9.208839245849916,27.626517737549747
71,_nikosch_,3.0,9.208839245849916,27.626517737549747
72,_pikuli_,4.0,10.307451534518025,41.2298061380721
73,_rsa_minimal,4.0,8.921157173398134,35.684628693592536
74,_saycutee_,4.0,10.307451534518025,41.2298061380721
75,_sheismrsright,6.0,8.51569206528997,51.094152391739826
76,_the_flawless_brat,4.0,10.307451534518025,41.2298061380721
77,_tjfoundation,5.0,8.698013622083925,43.49006811041963
78,_કરવ,46.0,6.47881013802893,298.02526634933076
79,_નહ,46.0,6.47881013802893,298.02526634933076
80,_ફ,46.0,6.47881013802893,298.02526634933076
81,_ભ,46.0,6.47881013802893,298.02526634933076
82,a_rammos,17.0,7.47423819046181,127.06204923785076
83,aarhus,5.0,8.698013622083925,43.49006811041963
84,aawara_romeo,6.0,8.51569206528997,51.094152391739826
85,aaปาร,25.0,7.088575709649825,177.21439274124563
86,abandoned_greece,3.0,9.208839245849916,27.626517737549747
87,abend,4.0,9.208839245849916,36.83535698339966
88,aber,9.0,7.668394204902767,69.0155478441249
