iter	Passed	Remaining
0	94	14089
1	181	13417
2	273	13408
3	366	13361
4	448	12993
5	536	12881
6	618	12643
7	698	12404
8	776	12168
9	856	11992
10	945	11949
11	1021	11751
12	1109	11688
13	1194	11604
14	1269	11429
15	1346	11275
16	1424	11145
17	1505	11041
18	1584	10923
19	1662	10807
20	1740	10689
21	1822	10601
22	1899	10488
23	1980	10399
24	2060	10302
25	2144	10228
26	2227	10146
27	2304	10041
28	2382	9939
29	2460	9843
30	2542	9758
31	2620	9664
32	2699	9570
33	2785	9502
34	2866	9417
35	2947	9332
36	3029	9252
37	3120	9196
38	3206	9124
39	3279	9017
40	3352	8913
41	3430	8821
42	3508	8729
43	3590	8650
44	3671	8567
45	3753	8485
46	3833	8401
47	3915	8320
48	4001	8248
49	4093	8186
50	4170	8096
51	4250	8010
52	4330	7924
53	4413	7845
54	4497	7767
55	4578	7685
56	4662	7607
57	4745	7527
58	4838	7462
59	4924	7386
60	5004	7301
61	5093	7228
62	5181	7155
63	5266	7076
64	5348	6993
65	5426	6907
66	5505	6819
67	5600	6754
68	5685	6674
69	5769	6593
70	5852	6512
71	5933	6427
72	6016	6346
73	6100	6265
74	6186	6186
75	6269	6104
76	6357	6027
77	6443	5947
78	6527	5866
79	6609	5783
80	6688	5697
81	6771	5615
82	6855	5533
83	6940	5453
84	7031	5376
85	7120	5298
86	7204	5217
87	7284	5132
88	7367	5049
89	7447	4964
90	7530	4882
91	7614	4800
92	7696	4717
93	7812	4654
94	7933	4592
95	8040	4522
96	8124	4439
97	8203	4352
98	8283	4267
99	8365	4182
100	8444	4096
101	8536	4017
102	8643	3944
103	8737	3864
104	8828	3783
105	8918	3701
106	9014	3622
107	9110	3543
108	9214	3465
109	9301	3382
110	9388	3298
111	9467	3212
112	9550	3127
113	9629	3041
114	9711	2955
115	9795	2870
116	9878	2786
117	9962	2701
118	10042	2616
119	10126	2531
120	10208	2446
121	10289	2361
122	10368	2276
123	10508	2203
124	10632	2126
125	10717	2041
126	10798	1955
127	10880	1870
128	10963	1784
129	11041	1698
130	11127	1613
131	11208	1528
132	11286	1442
133	11367	1357
134	11450	1272
135	11540	1187
136	11626	1103
137	11749	1021
138	11888	940
139	11969	854
140	12046	768
141	12131	683
142	12224	598
143	12319	513
144	12417	428
145	12505	342
146	12604	257
147	12698	171
148	12784	85
149	12865	0
